Year.month.day,rhum
2003.11.30,83.32342486
2003.12.31,82.47201981
2004.01.31,78.18735189
2004.02.29,83.06215285
2004.03.31,88.60845174
2004.05.01,94.50062707
2004.06.01,93.44644713
2004.07.01,91.23347991
2004.08.01,92.60157068
2004.09.01,82.64766173
2004.10.01,84.92031063
2004.10.31,82.94609826
2004.11.30,82.98250526
2004.12.31,82.27470364
2005.01.31,81.8327015
2005.02.28,83.44547289
2005.03.31,85.8763165
2005.05.01,92.35311361
2005.06.01,91.64439329
2005.07.01,88.44507135
2005.08.01,92.8382373
2005.09.01,90.9746978
2005.10.01,82.17270013
2005.10.31,79.97168204
2005.11.30,81.69912338
2005.12.31,80.67769584
2006.01.31,83.72287423
2006.02.28,82.19170736
2006.03.31,83.18904153
2006.05.01,91.7827197
2006.06.01,93.33682273
2006.07.01,93.3523093
2006.08.01,90.20771182
2006.09.01,91.58740419
2006.10.01,85.86100239
2006.10.31,83.33880306
2006.11.30,81.00916951
2006.12.31,81.75785578
2007.01.31,83.8092289
2007.02.28,81.41239928
2007.04.01,87.85395701
2007.05.01,88.86060266
2007.06.01,92.40926344
2007.07.01,87.65391695
2007.08.01,91.42463479
2007.09.01,89.06654199
2007.10.01,82.36053001
2007.11.01,82.20382551
2007.11.30,82.65256275
2007.12.31,79.11780941
2008.01.31,79.07082188
2008.02.29,80.16821598
2008.04.01,86.99919269
2008.05.01,92.48939759
2008.06.01,94.8284734
2008.07.01,92.57895143
2008.08.01,88.74452756
2008.09.01,87.27752476
2008.10.01,75.2030888
2008.11.01,81.76305807
2008.11.30,85.29126784
2008.12.31,80.89477399
2009.01.31,80.75150972
2009.02.28,81.55732997
2009.04.01,86.65462367
2009.05.01,92.95577832
2009.06.01,94.45288169
2009.07.01,93.22663309
2009.08.01,89.39608946
2009.09.01,86.96979808
2009.10.01,85.35293071
2009.11.01,80.01906372
2009.11.30,86.46684449
2009.12.31,79.80713294
2010.01.31,82.17338504
2010.02.28,82.25794054
2010.04.01,87.27659028
2010.05.01,92.0782516
2010.06.01,93.38403627
2010.07.01,91.32632863
2010.08.01,92.77649988
2010.09.01,88.67629954
2010.10.01,83.25998607
2010.11.01,84.2959231
2010.11.30,84.70217568
2010.12.31,84.83553512
2011.01.31,83.55214193
2011.02.28,86.69264797
2011.04.01,85.24626702
2011.05.01,92.09717056
2011.06.01,91.29891333
2011.07.01,92.36332857
2011.08.01,93.2793332
2011.09.01,89.22626838
2011.10.01,80.35170403
2011.11.01,78.25024625
2011.11.30,82.85781495
2011.12.31,79.2348627
2012.01.31,82.49909924
2012.02.29,80.65038454
2012.04.01,87.61759898
2012.05.01,91.80519535
2012.06.01,92.84667351
2012.07.01,92.03132315
2012.08.01,92.63287051
2012.09.01,87.98061802
2012.10.01,84.26193372
2012.11.01,83.45202075
2012.11.30,80.75906207
2012.12.31,80.93050557
2013.01.31,79.08255939
2013.02.28,84.43471532
2013.04.01,85.74540658
2013.05.01,90.75692793
2013.06.01,93.44961287
2013.07.01,93.86104163
2013.08.01,90.79941858
2013.09.01,82.7772179
2013.10.01,88.18817048
2013.11.01,81.54709975
2013.11.30,85.66747102
2013.12.31,84.12471952
2014.01.31,86.02226647
2014.02.28,85.03836602
2014.04.01,89.37055088
2014.05.01,91.92429341
2014.06.01,93.14363641
2014.07.01,91.83914011
2014.08.01,90.57667558
2014.09.01,87.62577857
2014.10.01,79.70274902
2014.11.01,88.0231826
2014.11.30,85.66889977
2014.12.31,84.12001902
2015.01.31,83.67337799
2015.02.28,82.84112129
2015.04.01,87.76395714
2015.05.01,93.89525423
2015.06.01,89.29059988
2015.07.01,91.67744076
2015.08.01,90.85047088
2015.09.01,87.36971239
2015.10.01,86.11821949
2015.11.01,82.75681547
2015.11.30,82.579933
2015.12.31,83.77790875
2016.01.31,84.46501843
2016.02.29,82.40054043
2016.04.01,89.01244223
2016.05.01,93.80944331
2016.06.01,91.69890279
2016.07.01,90.46541915
2016.08.01,91.01017744
2016.09.01,87.98873789
2016.10.01,84.85495653
2016.11.01,80.36219586
2016.11.30,86.0968164
2016.12.31,84.6072637
2017.01.31,83.82511172
2017.02.28,86.2709703
2017.04.01,88.46824035
2017.05.01,92.66898486
2017.06.01,92.36385814
2017.07.01,92.57486865
2017.08.01,89.70270723
2017.09.01,87.80959576
2017.10.01,82.54758192
2017.11.01,83.45847763
2017.11.30,86.95069631
2017.12.31,82.968873
2018.01.31,87.32427824
2018.02.28,87.07716062
2018.04.01,88.40993758
2018.05.01,92.10598775
2018.06.01,90.32676133
2018.07.01,91.68937637
2018.08.01,89.33977305
2018.09.01,89.42409046
2018.10.01,86.16880391
2018.11.01,83.79818901
2018.11.30,82.86282968
2018.12.31,81.99896949
2019.01.31,88.56362894
2019.02.28,88.34023882
2019.04.01,88.2190657
2019.05.01,93.61496844
2019.06.01,89.59236034
2019.07.01,90.76359168
2019.08.01,91.68243965
2019.09.01,87.55292939
2019.10.01,84.05560693
2019.11.01,80.62835713
2019.11.30,85.01572947
2019.12.31,79.8287504
2020.01.31,79.44350808
2020.02.29,86.46376826
2020.04.01,88.82847834
2020.05.01,92.10009797
2020.06.01,92.21759951
2020.07.01,92.47219376
2020.08.01,92.26035686
2020.09.01,89.98093657
2020.10.01,86.78682992
2020.11.01,83.50615358
2020.11.30,83.64881497
2020.12.31,82.33085343
2021.01.31,79.23952474
2021.02.28,83.97355537
2021.04.01,86.84511264
2021.05.01,92.60498703
2021.06.01,94.11375152
2021.07.01,95.0310625
2021.08.01,91.22716806
2021.09.01,86.10321374
2021.10.01,81.87786775
